bremsen, bremst, bremste, hat gebremst;frenar,refrenar;VERB;Der Mann ist ganz plötzlich über die Straße gegangen. Ich musste stark bremsen.
brennen, brennt, brannte, hat gebrannt;arder,quemarse,estar encendido,punzar,escocer,picar,quemar,ansiar,desvivirse,cocer,hornear,calcinar,destilar,tostar,cauterizar,marcar a fuego [oder con hierro candente];VERB;1. In diesem Haus hat es letztes Jahr gebrannt. 2. Die Kerze brennt noch. Mach sie bitte aus! 3. In deinem Zimmer hat die ganze Nacht das Licht gebrannt.
bringen, bringt, brachte, hat gebracht;traer,llevar,transportar,acompañar, llevar,rendir,producir un beneficio de,traer, publicar,emitir,quitar,conseguir +inf;VERB;1. Bringen Sie mir bitte ein Glas Tee! 2. Ich bringe dich nach Hause. 3. Die Abendzeitung hat einen Bericht über den Unfall gebracht.
buchen, bucht, buchte, hat gebucht;reservar,hacer una reserva de,contabilizar;VERB;Ich habe für morgen einen Flug nach Rom gebucht.
buchstabieren, buchstabiert, buchstabierte, hat buchstabiert;deletrear;VERB;Würden Sie Ihren Namen bitte buchstabieren?
chatten ;chatear;VERB;Meine Kinder chatten gern im Internet mit ihren Freunden.
danken, dankt, dankte, hat gedankt;dar las gracias por,agradecer;VERB;Ich danke dir für die Einladung.
dauern, dauert, dauerte, hat gedauert;durar,tardar,dar pena [oder lástima];VERB;1. Wie lange dauert die Pause? – Eine halbe Stunde. 2. Wie lange hat der Kurs gedauert? – Zwei Monate.
denken, denkt, dachte, hat gedacht;pensar en de,meditar, reflexionar,razonar,acordarse de,recordar,pensar, suponer,querer,imaginarse, figurarse;VERB;1. Was denkst du gerade? 2. Ich denke, dass du recht hast. 3. Wir diskutieren gerade über das Rauchen. Wie denken Sie darüber? 4. Denk bitte daran, die Heizung auszumachen. 5. Es ist mir ganz gleich, was die Leute von mir denken. 6. Ich denke oft an meine Familie. 7. Ich hatte mir gedacht, dass wir zusammen fahren könnten.
derselbe, dieselbe, dasselbe;"";VERB;Mein Freund und ich gehen in dieselbe Schule.
diskutieren, diskutiert, diskutierte, hat diskutiert;discutir de/sobre;VERB;Wir haben lange mit den Kollegen diskutiert.
drehen, dreht, drehte, hat gedreht;girar,dar vueltas a,enroscar,torcer,hilar,fabricar, hacer,liar,rodar, filmar,influir en,cambiar,virar,dar la vuelta;VERB;1. Zum öffnen der Dose müssen Sie den Deckel drehen. 2. Bei Familie Huber dreht sich jetzt alles um das Baby.
drin, drinnen;dentro;VERB;1. Wo wollt ihr sitzen? Draußen oder drinnen? 2. Bei der Hitze ist es drinnen viel angenehmer. 3. In der Packung ist nichts mehr drin.
drucken, druckt, druckte, hat gedruckt;imprimir en;VERB;1. Warum hast du den Brief noch nicht ausgedruckt? 2. Bei welcher Firma haben Sie diese Prospekte drucken lassen? 3. Du gehst einfach auf „Datei drucken“!
drücken, drückt, drückte, hat gedrückt;apretar,pulsar,empujar, apartar,apretar entre los brazos,reducir, bajar,pesar;VERB;1. Sie brauchen nur auf den Knopf zu drücken. 2. Die neuen Schuhe drücken. 3. Wenn du hier drückst, geht die Tür auf.
dürfen, darf, durfte, / ... dürfen;poder, tener permiso de/para,deber, poder,poder,tener permiso;VERB;1. Dürfen wir heute länger fernsehen? 2. Sie dürfen hier nicht parken. 3. Das hätten Sie nicht machen dürfen! 4. Was darf ich Ihnen anbieten? 5. Ich suche ein gebrauchtes Auto. Es darf nicht mehr als 1000 Euro kosten.
duschen, duscht, duschte, hat geduscht;duchar(se), tomar una ducha,duchar;VERB;1. Wenn Sie (sich) duschen wollen, das Badezimmer ist dort hinten links. 2. Ich bade nicht so gern, ich dusche lieber.
eignen sich, eignet, eignete, hat geeignet;"";VERB;Dieses Hotel eignet sich besonders für Familien mit Kindern.
